run_id,scenario_path,scenario_id,episode_index,num_timesteps,train_loss,episode_reward,episode_length,episode_time_sec,episode_train_time_sec,termination_reason,episode_return,goal_progress_ratio,distance_to_goal_region,visual_obstacle_detected,visual_obstacle_pixel_fraction,visual_obstacle_center_fraction,visual_obstacle_nearest_depth,success,collision,wall_collision,out_of_bounds,timeout
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_062.json,train_env_062,61,104522,nan,-1680.6378173828125,2186,1365.575605,27.777813800000104,persistent_contact_failure,-1680.6372875456389,0.9331173743462089,0.49389216205821146,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_063.json,train_env_063,62,106521,nan,-8587.5078125,1999,1391.252,25.676852999999937,persistent_contact_failure,-8587.504655163832,0.8614488183304565,1.0163175533263507,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_064.json,train_env_064,63,108696,nan,-5242.7900390625,2175,1419.191226,27.938995800000157,persistent_contact_failure,-5242.789652955208,0.7657320878268915,1.7851384839535547,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_065.json,train_env_065,64,110738,nan,-10728.791015625,2042,1445.650631,26.459609899999805,persistent_contact_failure,-10728.790781546286,0.8734108029413586,0.939493069828949,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_066.json,train_env_066,65,112722,nan,5727.4111328125,1984,1472.107969,26.45765019999999,goal_reached,5727.411182747231,0.9798617170114852,0.15348736528160778,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_067.json,train_env_067,66,114619,nan,2420.5185546875,1897,1496.810311,24.70213620000004,goal_reached,2420.524770485842,0.9863737782319179,0.10350674287329209,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_068.json,train_env_068,67,116586,nan,-995.9739990234375,1967,1522.046767,25.23636600000009,goal_reached,-995.9751804076723,0.9669857461948089,0.24246872260996488,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_069.json,train_env_069,68,118416,nan,1471.4544677734375,1830,1545.654828,23.60821779999992,goal_reached,1471.4533748062115,0.9822054437421871,0.13366150671055294,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_070.json,train_env_070,69,120464,nan,-7592.08251953125,2048,1572.395841,26.741191800000024,persistent_contact_failure,-7592.078741471623,0.9519094662569608,0.3569745210536088,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_071.json,train_env_071,70,122429,nan,-3108.787353515625,1965,1597.80461,25.407925299999988,persistent_contact_failure,-3108.788344893134,0.9532127260720097,0.3521874105783361,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_072.json,train_env_072,71,124554,nan,-11858.2763671875,2125,1625.678762,27.874847000000045,persistent_contact_failure,-11858.252380322421,0.8664311313964799,1.0123695352129032,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_073.json,train_env_073,72,126514,nan,-7088.7587890625,1960,1651.117537,25.438393899999937,persistent_contact_failure,-7088.761015071152,0.8790755989315868,0.8935176128034539,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_074.json,train_env_074,73,127647,nan,-2659.271728515625,1133,1665.891947,14.774742500000002,persistent_contact_failure,-2659.272257375604,0.5628568537386704,3.2600058891158485,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_075.json,train_env_075,74,129709,nan,-6537.77978515625,2062,1692.017049,26.125263000000132,persistent_contact_failure,-6537.772677260287,0.9780868279311807,0.16154166413604149,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_076.json,train_env_076,75,131792,nan,-9188.1787109375,2083,1718.195435,26.17839509999999,persistent_contact_failure,-9188.188754143837,0.8599805062633459,1.0348893506382366,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_077.json,train_env_077,76,132894,nan,-5133.9638671875,1102,1732.133669,13.938028600000052,persistent_contact_failure,-5133.965906284808,0.5188032721887454,3.513266873909452,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_078.json,train_env_078,77,133459,nan,-2236.69482421875,565,1739.275164,7.140744899999845,persistent_contact_failure,-2236.695649768316,0.24806633518050802,5.597239042571567,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_079.json,train_env_079,78,134564,nan,-6526.00927734375,1105,1753.286756,14.011983600000121,persistent_contact_failure,-6526.010410800893,0.5423044986111711,3.4686870129206944,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_080.json,train_env_080,79,136699,nan,-9408.9755859375,2135,1780.174489,26.88763259999996,persistent_contact_failure,-9408.9795018059,0.8870985645550872,0.8257832173475403,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_081.json,train_env_081,80,137337,nan,-3209.02783203125,638,1788.475298,8.3014498,persistent_contact_failure,-3209.028866725821,0.30266272507169323,5.312569529254234,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_082.json,train_env_082,81,139549,nan,-8572.3955078125,2212,1817.583399,29.107419400000026,persistent_contact_failure,-8572.395721882413,0.7703658928771007,1.7293532229155637,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_083.json,train_env_083,82,140981,nan,-6576.61181640625,1432,1835.621237,18.037681999999904,persistent_contact_failure,-6576.611483357548,0.64732331877554,2.663288122870685,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_084.json,train_env_084,83,143075,nan,-8805.7900390625,2094,1862.471522,26.850752000000057,persistent_contact_failure,-8805.785423365944,0.8996772382598277,0.7583205512553723,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_085.json,train_env_085,84,145005,nan,815.3897094726562,1930,1887.693577,25.221871400000055,goal_reached,815.392035512289,0.9661987368754323,0.2523731748505651,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_086.json,train_env_086,85,147128,nan,-6590.43115234375,2123,1915.720167,28.02696479999986,persistent_contact_failure,-6590.433754194529,0.9447837176928363,0.4108773663100059,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_087.json,train_env_087,86,149171,nan,-4062.278564453125,2043,1941.622369,25.902372700000114,goal_reached,-4062.268916750241,0.9669454529672672,0.25167130698749096,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_088.json,train_env_088,87,150044,nan,-7216.92626953125,873,1953.114673,11.491728100000046,persistent_contact_failure,-7216.923332145692,0.39560615541256683,4.580580986804907,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_089.json,train_env_089,88,152030,nan,1570.9122314453125,1986,1976.67608,23.56123189999994,goal_reached,1570.916291290343,0.9747091670606953,0.18900194453968355,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_090.json,train_env_090,89,154259,nan,-11760.6357421875,2229,2003.091247,26.415111199999956,persistent_contact_failure,-11760.647909129753,0.838779226533454,1.187679194969074,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_091.json,train_env_091,90,155887,nan,-8415.6181640625,1628,2022.150836,19.06000210000002,persistent_contact_failure,-8415.61565587623,0.6686756443147048,2.410256605636634,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_092.json,train_env_092,91,157625,nan,3041.069091796875,1738,2042.7529,20.602415500000006,goal_reached,3041.0673963718555,0.9599043975360888,0.2938348437204348,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_093.json,train_env_093,92,158197,nan,-2773.63916015625,572,2049.623525,6.870093800000177,persistent_contact_failure,-2773.6393553858456,0.2398867554156222,5.721698120625024,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_094.json,train_env_094,93,160319,nan,-11011.9072265625,2122,2075.955487,26.3319991999997,persistent_contact_failure,-11011.902588957872,0.8861880064886338,0.8599697642936335,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_095.json,train_env_095,94,162250,nan,3241.74365234375,1931,2100.771679,24.815971400000308,goal_reached,3241.739949924373,0.9725211179632345,0.21015296504531317,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_096.json,train_env_096,95,163248,nan,-3841.7080078125,998,2113.472027,12.700644899999588,persistent_contact_failure,-3841.7094406974957,0.520418754813202,3.623040781895643,False,0.0,0.0,2.5,False,True,False,False,False
